OSM_ID,BUILDING,A_STRT,A_SBRB,A_HSNMBR,B_LEVELS,NAME
210248134,yes,,,,"1",
181559404,yes,,,,"1",
181559457,yes,,,,"1",
210243631,yes,,,,"1",
210243598,yes,,,,"1",
207604201,yes,,,,"1",
181559432,yes,,,,"1",
210243855,yes,,,,"1",
210243789,yes,,,,"1",
207604129,yes,,,,"1",
207604112,yes,,,,"1",
210243634,yes,,,,"1",
210243637,yes,,,,"1",
100769458,yes,,,,"1",
181559393,yes,,,,"1",
210243605,yes,,,,"1",
210243667,yes,,,,"1",
210243614,yes,,,,"1",
210243842,yes,,,,"1",
210243735,yes,,,,"1",
210243821,yes,,,,"1",
100769456,yes,,,,"1",
207604209,yes,,,,"1",
210243866,yes,,,,"1",
210243763,yes,,,,"1",
210243784,yes,,,,"1",
100769450,yes,,,,"1",
210243647,yes,,,,"1",
210243673,yes,,,,"1",
155182644,yes,,,,,
210243639,yes,,,,"1",
155182638,yes,,,,,
210243808,yes,,,,"1",
210243822,yes,,,,"1",
155182659,yes,,,,,
210243830,yes,,,,"1",
210243761,yes,,,,"1",
210243837,yes,,,,"1",
257775970,yes,,,,,
100769514,yes,,,,"1",
210243811,yes,,,,"1",
210243642,yes,,,,"1",
210243731,yes,,,,"1",
100769520,yes,,,,"1",
210243800,yes,,,,"1",
210243834,yes,,,,"1",
210243674,yes,,,,"1",
210243794,yes,,,,"1",
100769510,yes,,,,"1",
155182648,yes,,,,,
210243829,yes,,,,"1",
155182654,yes,,,,,
155182641,yes,,,,,
210243844,yes,,,,"1",
210243620,yes,,,,"1",
210243850,yes,,,,"1",
100769539,yes,,,,"1",
210243836,yes,,,,"1",
100769467,yes,,,,"1",
155182632,yes,,,,,
100769474,yes,,,,"1",
210243729,yes,,,,"1",
100769517,yes,,,,"1",
100769558,yes,,,,"1",
210243660,yes,,,,"1",
210243643,yes,,,,"1",
100769464,yes,,,,"1",
100769497,yes,,,,"1",
210243670,yes,,,,"1",
210243750,yes,,,,"1",
210243702,yes,,,,"1",
210243589,yes,,,,"1",
210243600,yes,,,,"1",
210243835,yes,,,,"1",
210243627,yes,,,,"1",
210243682,yes,,,,"1",
210243681,yes,,,,"1",
100769541,yes,,,,"1",
155182652,yes,,,,,
100769448,yes,,,,"1",
210243849,yes,,,,"1",
100769571,yes,,,,"1",
100769481,yes,,,,"1",
100769488,yes,,,,"1",
210235346,yes,,,,"1",
100769545,yes,,,,"1",
100769493,yes,,,,"1",
155182643,yes,,,,,
100767961,yes,,,,"1",
100769529,yes,,,,"1",
155182661,yes,,,,,
100769491,yes,,,,"1",
100769508,yes,,,,"1",
100769562,yes,,,,"1",
100769527,yes,,,,"1",
100769522,yes,,,,"1",
100769528,yes,,,,"1",
210235334,yes,,,,"1",
100769544,yes,,,,"1",
100769572,yes,,,,"1",
210243753,yes,,,,"1",
155182657,yes,,,,,
155182658,yes,,,,,
210243824,yes,,,,"1",
100769463,yes,,,,"1",
100769513,yes,,,,"1",
100769550,yes,,,,"1",
100769465,yes,,,,"1",
100769469,yes,,,,"1",
100769573,yes,,,,"1",
100769531,yes,,,,"1",
210243859,yes,,,,"1",
100767954,yes,,,,"1",
100769546,yes,,,,"1",
210235435,yes,,,,"1",
100769478,yes,,,,"1",
100769483,yes,,,,"1",
210235429,yes,,,,"1",
210243777,yes,,,,"1",
210235275,yes,,,,"1",
155182655,yes,,,,,
100767974,yes,,,,"1",
100769512,yes,,,,"1",
155182642,yes,,,,,
100767951,yes,,,,"1",
100769471,yes,,,,"1",
100813559,yes,,,,"1",
210243745,yes,,,,"1",
210243865,yes,,,,"1",
210235448,yes,,,,"1",
210235344,yes,,,,"1",
210243795,yes,,,,"1",
100769523,yes,,,,"1",
188630374,yes,,,,"1",
155182635,yes,,,,,
210235378,yes,,,,"1",
100767968,yes,,,,"1",
100769485,yes,,,,"1",
210243596,yes,,,,"1",
100769559,yes,,,,"1",
210243661,yes,,,,"1",
210243655,yes,,,,"1",
210243607,yes,,,,"1",
100767955,yes,,,,"1",
100767952,yes,,,,"1",
210235276,yes,,,,"1",
100767963,yes,,,,"1",
210243690,yes,,,,"1",
100769553,yes,,,,"1",
210235315,yes,,,,"1",
210243632,yes,,,,"1",
210235296,yes,,,,"1",
100767949,yes,,,,"1",
100767960,yes,,,,"1",
210235321,yes,,,,"1",
210243664,yes,,,,"1",
100769499,yes,,,,"1",
210235349,yes,,,,"1",
100769561,yes,,,,"1",
210235342,yes,,,,"1",
100767964,yes,,,,"1",
100767967,yes,,,,"1",
100769484,yes,,,,"1",
210235317,yes,,,,"1",
210235409,yes,,,,"1",
210235347,yes,,,,"1",
210235440,yes,,,,"1",
210235416,yes,,,,"1",
210235292,yes,,,,"1",
100767973,yes,,,,"1",
100767970,yes,,,,"1",
100767953,yes,,,,"1",
210235302,yes,,,,"1",
100769490,yes,,,,"1",
210235377,yes,,,,"1",
210235430,yes,,,,"1",
100769526,yes,,,,"1",
210243695,yes,,,,"1",
210235327,yes,,,,"1",
210235400,yes,,,,"1",
100769521,yes,,,,"1",
210243846,yes,,,,"1",
210243767,yes,,,,"1",
100769449,yes,,,,"1",
210235383,yes,,,,"1",
100767975,yes,,,,"1",
210235365,yes,,,,"1",
210235285,yes,,,,"1",
210235329,yes,,,,"1",
210243624,yes,,,,"1",
210243860,yes,,,,"1",
210243725,yes,,,,"1",
210235386,yes,,,,"1",
210235404,yes,,,,"1",
210243656,yes,,,,"1",
210235356,yes,,,,"1",
100767976,yes,,,,"1",
100767959,yes,,,,"1",
210235449,yes,,,,"1",
100767956,yes,,,,"1",
210235374,yes,,,,"1",
210235325,yes,,,,"1",
210243678,yes,,,,"1",
210243617,yes,,,,"1",
210235381,yes,,,,"1",
210235301,yes,,,,"1",
210235421,yes,,,,"1",
210235280,yes,,,,"1",
210243727,yes,,,,"1",
210235339,yes,,,,"1",
210243804,yes,,,,"1",
100767962,yes,,,,"1",
210243640,yes,,,,"1",
210235350,yes,,,,"1",
210235278,yes,,,,"1",
210243785,yes,,,,"1",
210235352,yes,,,,"1",
210243633,yes,,,,"1",
210243722,yes,,,,"1",
210235364,yes,,,,"1",
100767966,yes,,,,"1",
210243676,yes,,,,"1",
210243790,yes,,,,"1",
210243721,yes,,,,"1",
210243771,yes,,,,"1",
210235432,yes,,,,"1",
210235323,yes,,,,"1",
210243680,yes,,,,"1",
210243619,yes,,,,"1",
210235272,yes,,,,"1",
210235357,yes,,,,"1",
210243609,yes,,,,"1",
210235308,yes,,,,"1",
100767972,yes,,,,"1",
210235376,yes,,,,"1",
100767977,yes,,,,"1",
100769476,yes,,,,"1",
210243746,yes,,,,"1",
210243799,yes,,,,"1",
210243635,yes,,,,"1",
210235387,yes,,,,"1",
210243840,yes,,,,"1",
210243711,yes,,,,"1",
210235434,yes,,,,"1",
210243653,yes,,,,"1",
210243853,yes,,,,"1",
100767950,yes,,,,"1",
210235291,yes,,,,"1",
210243638,yes,,,,"1",
210243857,yes,,,,"1",
100767969,yes,,,,"1",
210235370,yes,,,,"1",
210235384,yes,,,,"1",
210243813,yes,,,,"1",
210235399,yes,,,,"1",
210235354,yes,,,,"1",
210235382,yes,,,,"1",
210243657,yes,,,,"1",
210243739,yes,,,,"1",
210243764,yes,,,,"1",
210235445,yes,,,,"1",
210243769,yes,,,,"1",
210243768,yes,,,,"1",
210243740,yes,,,,"1",
210243825,yes,,,,"1",
100767971,yes,,,,"1",
210243801,yes,,,,"1",
210243744,yes,,,,"1",
210243796,yes,,,,"1",
100813572,yes,,,,"1",
210243766,yes,,,,"1",
210243848,yes,,,,"1",
210243719,yes,,,,"1",
210243812,yes,,,,"1",
210243774,yes,,,,"1",
210235408,yes,,,,"1",
210243723,yes,,,,"1",
210235343,yes,,,,"1",
210243741,yes,,,,"1",
100813592,yes,,,,"1",
210243720,yes,,,,"1",
210243783,yes,,,,"1",
210235450,yes,,,,"1",
210243832,yes,,,,"1",
210243786,yes,,,,"1",
210235414,yes,,,,"1",
210243654,yes,,,,"1",
210235367,yes,,,,"1",
210235336,yes,,,,"1",
100813531,yes,,,,"1",
210235417,yes,,,,"1",
210235304,yes,,,,"1",
210235332,yes,,,,"1",
100813587,yes,,,,"1",
210243736,yes,,,,"1",
210243838,yes,,,,"1",
210235437,yes,,,,"1",
210235426,yes,,,,"1",
210243809,yes,,,,"1",
210235410,yes,,,,"1",
210235333,yes,,,,"1",
210243765,yes,,,,"1",
100813560,yes,,,,"1",
210243758,yes,,,,"1",
210235422,yes,,,,"1",
210235388,yes,,,,"1",
210243823,yes,,,,"1",
210235326,yes,,,,"1",
100813543,yes,,,,"1",
210243649,yes,,,,"1",
100813528,yes,,,,"1",
100813542,yes,,,,"1",
100813581,yes,,,,"1",
210243677,yes,,,,"1",
